tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,sidewalk,problems,trunk_wire,brch_shoe,address,borough
180683,348711,2015-08-27,3,0,OnCurb,Alive,Fair,Acer rubrum,red maple,NoDamage,None,No,No,108-005 70 AVENUE,Queens
200540,315986,2015-09-03,21,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,Damage,Stones,No,No,147-074 7 AVENUE,Queens
204026,218365,2015-09-05,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,Damage,None,No,No,390 MORGAN AVENUE,Brooklyn
204337,217969,2015-09-05,10,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,Damage,Stones,No,No,1027 GRAND STREET,Brooklyn
189565,223043,2015-08-30,21,0,OnCurb,Alive,Good,Tilia americana,American linden,Damage,Stones,No,No,603 6 STREET,Brooklyn
190422,106099,2015-08-30,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,8 COLUMBUS AVENUE,Manhattan
190426,106099,2015-08-30,11,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,120 WEST 60 STREET,Manhattan
208649,103940,2015-09-07,9,0,OnCurb,Alive,Good,Tilia americana,American linden,NoDamage,MetalGrates,No,No,311 WEST 50 STREET,Manhattan
209610,407443,2015-09-08,6,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,65 JEROME AVENUE,Staten Island
192755,207508,2015-08-31,21,0,OffsetFromCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,None,No,No,638 AVENUE Z,Brooklyn
203719,302371,2015-09-05,11,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,20-025 24 STREET,Queens
203726,302371,2015-09-05,8,0,OnCurb,Alive,Poor,Platanus x acerifolia,London planetree,NoDamage,None,No,No,20-055 24 STREET,Queens
195202,415896,2015-09-01,13,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,Stones,No,No,35 FENWAY CIRCLE,Staten Island
189465,219493,2015-08-30,22,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,RootOther,No,No,100 WAVERLY AVENUE,Brooklyn
192998,211160,2015-08-31,30,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,Damage,StonesBranchOther,No,No,2126 UNION STREET,Brooklyn
189834,219505,2015-08-30,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,NoDamage,None,No,No,449 MYRTLE AVENUE,Brooklyn
